user_id,Projects / 100,Midterm / 100,Final / 100,OpenDSA Exercises / 100,Final Score / 100,Letter Grade
15994,97.65,98,92,96.66,96.66,A
17857,100,90,100,100,98.5,A
15777,97.65,96,100,94.43,97.11,A
16692,84.18,74,85,100,85.94,B
15783,95.33,82,83,100,92.42,A-
17148,100,98,96,100,99.1,A
16961,95.78,100,100,100,97.89,A
16712,100,100,98,100,99.7,A
17265,98.62,100,98,98.14,98.64,A
15799,99.33,100,100,100,99.67,A
15782,100,98,98,100,99.4,A
18257,76.48,100,100,99.26,88.09,B+
9271,85.9,86,81,96.66,87.33,B+
14393,100,82,57.86,100,90.98,A-
15787,68.35,100,85,99.63,81.85,B-
16345,100,84,88.29,97.77,95.4,A
15904,91.98,64,80.43,100,87.66,B+
15780,97.03,96,98,100,97.62,A
16715,98.69,100,98,100,99.04,A
17679,92.18,70,91,100,90.24,A-
16500,91.7,90,92,100,93.15,A
15838,85.67,98,96,84.79,88.89,B+
16684,100,86,100,100,97.9,A
15779,97.21,86,93,100,95.45,A
16721,100,96,100,100,99.4,A
16588,100,100,97,100,99.55,A
16710,90.63,80,100,93.69,91.05,A-
16718,100,76,69.29,100,91.79,A-
16427,83.02,80,90,100,87.01,B+
15893,100,100,96,100,99.4,A
16128,100,96,94,100,98.5,A
17645,97.05,100,100,100,98.53,A
15786,100,92,82,100,96.1,A
16689,99.65,100,96,100,99.23,A
16873,94.63,94,100,98.52,96.12,A
16900,94.02,92,100,100,95.81,A
14633,84.46,92,95,99.63,90.21,A-
15785,81.58,86,80.43,100,85.76,B
16719,98.26,100,100,98.89,98.91,A
15625,99.33,74,96,98.14,94.8,A
17307,62.67,62,64,99.26,70.08,C-
15790,80.88,90,100,100,88.94,B+
15776,81.63,96,87,97.4,87.74,B+
6716,90.77,94,96,88.5,91.59,A-
15792,97.49,94,83,100,95.3,A
13564,85.46,74,96,98.89,88,B+
16633,86.67,74,100,99.26,89.29,B+
16639,87.79,82,98,100,90.9,A-
16606,95.54,80,66.29,100,89.71,B+
15789,80.24,100,100,97.77,89.67,B+
15771,100,84,94,100,96.7,A
17668,82.72,100,100,98.52,91.06,A-
15473,99.05,96,81,99.26,95.93,A
17254,95.05,94,89.71,100,95.08,A
17369,90.63,98,100,100,95.01,A
16903,99.33,94,91,100,97.42,A
16970,88.99,84,100,99.26,91.94,A-
16307,97.67,84,96,99.26,95.68,A
16915,100,70,65,99.26,90.1,A-
17284,73.03,68,84,99.26,79.17,C+
16635,100,88,93,88.68,94.89,A
14517,99.33,92,92,96.66,96.6,A
15768,100,80,98,100,96.7,A
15866,99.33,98,100,100,99.37,A
15577,94.7,84,89,99.26,93.15,A
12403,99.33,78,65.57,100,91.2,A-
10405,83.92,58,63,92.95,78.7,C+
18042,95.33,96,94,100,96.17,A
16708,99.47,100,100,100,99.74,A
15778,94.73,100,95,100,96.62,A
15794,91.63,98,96,100,94.92,A
16568,100,84,90.57,100,96.19,A
15769,100,100,93,100,98.95,A
15781,99.8,82,100,77.74,92.75,A-
16306,92.43,64,100,96.29,90.07,A-
15812,95.33,94,100,100,96.77,A
15826,100,90,100,100,98.5,A
17213,80.31,72,100,100,85.95,B
14503,74.33,66,43.29,97.22,73,C
18035,74.27,100,100,100,87.13,B+
15879,99.32,90,100,100,98.16,A
15775,100,100,93,100,98.95,A
15463,96,100,93,100,96.95,A
15456,82.83,88,90,100,88.11,B+
15553,100,94,96,100,98.5,A
16690,95.33,86,83,100,93.02,A
